NYT,0.5,3.06,0.344,8.90,,,4.70,0.87,1.13,2.70,8.99,-14.437,10.03,12.31,8.39,21.53,0.98,"3,794.40",3.06,"5,721","1,749",0.00,83.333,5.556,-42.136,2.189,47.088,16.715,3.019,0.683,0.629,4.867,0.458,23.540,311.701,7364600.000,-1.943,,80.000,1737.143,0.538,387.268,22.293,0.312,9.798,15.939,5.211,2.648,0.392,50.000,-10.000,1.351,40.920,,70.203,4.780,3.300,-6.695,35.152,3.400,31.176,4.460,24.710,2187.850,0.420,0.275,0.500,1240.000,652.602,426.277,341.021,20-02-25,06-05-25,23-05-25,0.420,13.725,1.000,0.420,13.725,30-09-25,3,238.056,115.355,3.395,517.160,873.966,1239.050,0.000,4348.708,6461.724,645.311,70.778,248.690,964.779,2318.767,3283.546,0.000,620.000,486.375,3346.784,1302.857,14.891,31.088,1348.836,757.140,132.689,27.600,917.429,431.407,94.568,86.067,290.451,-39.679,0.312,0.344,0.000,0.080,0.078,0.075,424.528,0.000,635.134,-222.799,-0.218,94.041,-793.520,238.056,426.277,426.277,498.202,500.918,251.123,242.643,228.568,376.509,404.935,388.685,,-14.437,-0.542,99.471,3.495,6.158,-39.293,-7.020,4.181,0.344,0.344,0.402,0.404,0.203,0.196,0.183,0.304,0.327,0.313,0.315,0.360,0.325,0.430,0.450,0.360,0.000,0.000,8.987,9.047,14.286,8.072,6.322,3.463,6.098,12.953,6.048,5.085,4.167,4.114,4.000,2.941,0.000,0.000,,,10.029,10.029,10.003,9.699,5.787,6.106,7.381,11.021,11.641,11.320,11.675,12.872,12.064,15.808,25.498,18.222,0.000,0.000,0.000,0.253,3.134,67.617,-5.228,-17.273,-33.033,-5.326,2.839,-3.037,-9.301,6.698,-23.687,-38.001,39.929,,,12.313,12.313,14.029,14.684,7.673,7.464,6.488,9.936,10.739,10.377,10.414,11.961,11.031,16.536,41.393,31.960,0.000,0.000,0.000,-12.231,-4.462,91.373,2.807,15.029,-34.697,-7.481,3.495,-0.357,-12.939,8.434,-33.289,-60.052,29.513,,,#DIV/0!,#DIV/0!,0.168,12.175,"Monday, November 25, 2013",14.286,3.463,8.238,#N/A,NYT ปิด 3.06 P/E 8.9  Chg% 31.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCC,1,8.95,0.178,50.25,,,,0.51,0.52,17.16,0.50,-44.269,1.24,1.04,1.02,1.58,0.17,537.00,8.95,1,1,1.70,61.111,11.111,#DIV/0!,0.105,1.134,1.059,13.735,0.167,1.058,8.461,1.589,52.266,3.372,0.000,5.851,,25.031,853.285,1.413,14.004,1.641,0.233,38.346,13.114,20.132,2.974,13.011,23.077,-35.256,0.736,38.510,,57.526,11.300,9.100,-6.195,16.484,10.200,3.922,10.600,0.000,5.080,0.080,0.045,1.000,60.000,15.181,10.687,2.675,05-03-25,07-05-25,27-05-25,0.080,0.894,1.000,0.080,0.894,30-09-25,3,40.949,101.365,241.682,145.537,529.533,234.852,44.287,399.234,1207.906,0.000,104.942,14.050,118.992,59.474,178.466,0.000,60.000,780.631,1029.440,639.964,0.000,23.518,663.482,553.754,100.325,0.000,654.079,9.403,0.562,1.662,10.503,-3.324,0.233,0.178,0.000,-0.023,-0.075,0.273,15.603,0.000,7.521,-7.902,-0.680,-12.582,-8.785,40.949,10.687,10.687,19.176,-5.104,-22.818,-1.971,5.269,31.560,169.094,63.248,,-44.269,475.705,77.632,-1057.422,-137.418,-83.306,-81.336,167.350,0.178,0.178,0.320,-0.085,-0.380,-0.033,0.088,0.526,2.818,1.054,1.180,1.380,1.590,1.690,1.760,1.667,1.279,1.209,0.498,0.510,0.856,0.660,0.000,0.000,1.456,1.923,4.651,4.063,4.375,4.118,3.827,4.908,4.020,3.889,5.455,5.000,1.238,1.238,1.409,-0.721,-2.266,-0.051,0.552,3.076,16.421,6.526,7.839,9.456,11.017,12.296,15.458,17.279,13.859,13.860,0.000,-12.179,295.435,68.180,"-4,303.388",-109.319,-82.048,-81.265,151.617,-16.747,-17.107,-14.168,-10.396,-20.457,-10.542,24.679,-0.006,1.042,1.042,1.877,-0.499,-2.224,-0.191,0.518,3.138,17.716,7.311,8.588,10.441,12.663,14.637,16.955,17.148,13.936,14.255,0.000,-44.477,476.113,77.567,"-1,067.219",-136.793,-83.496,-82.285,142.335,-14.878,-17.745,-17.549,-13.486,-13.669,-1.127,23.048,-2.237,#DIV/0!,#DIV/0!,0.309,0.049,"Friday, August 7, 1987",0.856,0.000,0.405,#N/A,OCC ปิด 8.95 P/E 50.25 Chg% 3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OGC,10,9.75,-0.070,-139.29,,,,9.81,0.12,83.97,0.00,98.451,1.22,-0.08,-3.07,-4.71,1.17,207.97,9.75,0,0,0.00,6.250,2.083,-100.000,-0.557,-0.684,1.044,51.362,-0.507,3.466,2.813,7.516,42.741,1.026,0.000,-25.711,,0.000,1563.149,0.804,-74.589,-4.772,-3.497,-2.788,5.529,182.237,98.265,18.911,27.273,-6.061,-0.041,37.150,,44.680,28.750,23.600,-17.217,0.847,24.600,-3.252,23.800,0.000,310.170,0.000,0.000,10.000,21.331,47.727,-1.493,0.000,19-02-25,,,0.000,0.000,0.000,0.000,0.000,30-09-25,3,37.612,140.368,1352.715,16.927,1547.622,0.000,2291.145,48.480,3887.247,1369.677,234.659,2.340,1606.676,489.377,2096.053,0.000,213.307,403.384,1791.194,1172.362,0.000,14.269,1186.631,993.658,100.411,109.784,1203.853,-17.222,43.918,-5.198,-55.942,0.000,-3.497,-0.070,0.000,0.070,-1.340,-1.340,161.486,0.000,-8.113,-52.233,-1.871,-54.049,53.666,37.612,-1.493,-1.493,-96.396,14.019,20.310,3.020,-245.895,18.134,24.457,65.979,,98.451,-787.610,-30.975,572.517,101.228,-1455.989,-25.854,-62.932,-0.070,-0.070,-4.520,0.660,0.950,0.142,-11.528,0.850,1.150,3.093,4.434,6.260,2.200,-1.990,-3.446,2.689,4.411,-0.061,0.000,0.000,0.000,2.395,2.280,0.000,0.000,2.298,1.727,3.605,5.842,6.994,2.857,0.000,0.000,4.538,4.884,2.179,1.221,1.221,-1.893,1.551,1.488,0.854,-8.375,1.204,1.912,3.543,4.646,6.820,3.393,0.029,-0.600,3.408,5.106,1.048,0.000,164.525,-222.063,4.252,74.227,110.195,-795.681,-37.041,-46.023,-23.751,-31.875,100.983,"11,422.541",104.904,-117.621,-33.263,387.328,-0.082,-0.082,-5.053,0.730,1.094,0.164,-13.268,0.968,1.302,3.689,5.628,8.298,3.154,-2.875,-4.679,3.563,6.033,-0.085,0.000,98.376,-792.055,-33.276,565.389,101.239,"-1,470.388",-25.655,-64.693,-34.462,-32.178,163.127,209.691,38.550,-231.308,-40.935,"7,234.811",#DIV/0!,#DIV/0!,0.303,-0.828,"Thursday, August 19, 1993",2.395,0.000,0.935,#N/A,OGC ปิด 9.75 P/E -139.29 Chg% -3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OHTL,10,300.00,20.544,14.60,,,,45.39,1.72,174.20,0.00,-26.153,7.57,12.13,5.72,8.60,1.22,"4,529.34",300.00,8,240,-5.96,13.636,-54.242,344.444,0.283,29.448,13.650,4.067,44.215,63.142,4.751,0.500,13.153,40.790,1.000,-183.831,,40.000,2264.266,0.775,194.860,8.606,12.907,23.244,17.524,387.248,213.053,-4.912,36.066,0.000,4.015,20.840,,29.521,546.000,416.000,-23.810,0.000,476.000,-12.605,416.000,25.000,0.000,0.000,8.218,10.000,15.098,438.863,310.172,124.069,29-10-25,,,0.000,0.000,0.000,0.000,0.000,30-09-25,3,258.470,78.992,32.895,70.834,441.191,0.000,5011.178,394.227,5846.596,845.124,503.869,707.016,2056.009,1160.620,3216.629,0.000,150.978,-74.161,2629.967,1698.199,0.000,1.975,1700.174,944.626,516.843,0.000,1461.469,238.705,60.869,31.691,146.145,0.000,12.907,20.544,0.000,-1.723,-1.437,12.840,246.398,0.000,500.659,-268.895,0.000,-328.895,-195.229,258.470,310.172,310.172,420.022,277.444,88.208,-620.641,-480.121,-370.918,259.735,215.949,,-26.153,51.390,214.535,114.212,-29.268,-29.441,-242.807,20.276,20.544,20.544,27.820,18.376,5.842,-41.110,-31.800,-24.570,17.200,14.300,10.110,10.997,11.600,22.204,19.190,8.110,6.500,8.490,2.739,2.592,0.000,0.000,0.000,0.000,0.000,0.000,3.542,1.685,1.026,1.200,1.570,3.642,3.333,1.907,1.371,1.626,7.574,7.574,9.919,7.727,3.320,-8.992,-9.965,-17.539,17.352,14.086,9.836,11.490,12.575,19.353,18.536,10.672,7.171,8.265,0.000,-23.644,28.369,132.706,136.928,9.769,43.183,-201.076,23.193,43.209,-14.401,-8.622,-35.024,4.405,73.686,48.815,-13.227,12.131,12.131,18.451,14.866,5.474,-33.705,-40.221,-70.544,33.472,28.769,20.166,20.751,20.113,31.374,25.243,11.200,8.725,10.606,0.000,-34.254,24.113,171.567,116.242,16.200,42.984,-310.758,16.347,42.657,-2.818,3.175,-35.893,24.287,125.390,28.366,-17.740,#DIV/0!,#DIV/0!,0.421,12.731,"Tuesday, June 21, 1988",2.592,0.000,0.518,#N/A,OHTL ปิด 300 P/E 14.6  Chg% -12.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKJ,0.5,4.38,0.223,19.62,,,,0.60,1.53,2.87,1.99,-32.607,7.09,7.80,6.01,4.95,0.42,"2,667.42",4.38,"14,258","6,217",1.39,80.769,0.000,-50.363,0.131,7.273,9.844,2.864,0.337,0.398,10.995,1.052,3.664,12.369,0.000,0.466,,39.007,2805.908,2.268,139.646,4.977,0.229,19.101,9.162,4.063,1.195,0.468,66.667,4.848,3.945,29.740,,70.795,0.000,0.000,#DIV/0!,#DIV/0!,0.000,0.000,0.000,0.000,0.000,0.160,0.087,0.500,609.000,183.146,135.923,53.020,06-02-25,19-02-25,25-04-25,0.160,3.653,1.000,0.160,3.653,30-09-25,3,291.133,42.365,118.197,559.880,1011.574,100.854,993.717,368.213,2474.359,12.029,259.007,113.943,384.979,343.060,728.039,0.000,304.500,285.098,1746.320,2104.431,0.000,12.623,2117.053,1174.558,801.051,0.000,1975.609,141.444,14.662,22.048,104.734,0.000,0.229,0.223,0.000,0.028,0.039,0.105,179.408,0.000,153.969,-286.202,-8.233,-783.736,-277.820,291.133,135.923,135.923,201.688,140.648,38.318,0.000,0.000,0.000,0.000,0.000,,-32.607,43.399,267.057,,,,,,0.223,0.223,0.410,0.313,0.085,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.988,2.155,1.046,,,0.000,,,,,,,,,,,,,7.092,7.092,13.341,16.269,6.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-46.844,-17.997,169.541,,,,,,,,,,,,,,7.800,7.800,17.410,27.464,8.585,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-55.199,-36.609,219.892,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#N/A,15.315,"Friday, October 4, 2024",2.155,0.000,1.067,#N/A,OKJ ปิด 4.38 P/E 19.62 Chg%  .  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONEE,2,2.22,0.157,14.12,,,5.05,0.66,0.76,2.93,0.00,-11.083,5.03,5.34,3.83,5.09,0.41,"5,286.38",2.22,"4,437",996,-0.89,61.538,-7.692,-53.256,0.176,15.121,11.771,2.556,0.446,0.524,4.237,1.319,68.088,5.714,7254615.000,0.764,,96.151,6971.756,1.416,357.487,5.128,0.150,14.788,5.796,4.135,1.206,-0.291,66.667,5.556,0.192,26.300,,66.359,8.250,3.560,-55.152,3.933,8.000,-53.750,3.700,8.330,27573.950,0.050,0.151,2.000,2381.250,480.274,374.355,359.946,08-08-25,22-08-25,05-09-25,0.050,2.252,2.000,0.170,7.658,30-09-25,3,912.122,1326.850,848.082,1602.644,4689.698,45.317,835.894,4276.260,9847.169,78.954,2206.314,154.561,2439.829,431.083,2870.912,0.000,4762.500,-693.858,6975.958,5228.817,0.000,43.460,5272.277,3436.947,1520.430,1.765,4959.142,313.135,5.801,39.347,268.115,-0.128,0.150,0.157,0.000,0.086,0.036,-0.010,1086.717,0.000,797.206,-55.407,-51.073,-1184.791,-393.598,912.122,374.355,374.355,421.017,505.092,738.531,828.376,633.865,178.385,0.000,0.000,,-11.083,-16.646,-31.608,-10.846,30.687,255.334,,,0.157,0.157,0.177,0.212,0.310,0.418,0.333,0.094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.809,7.063,3.917,3.514,3.522,0.639,0.000,0.000,,,,,,,,,,,5.034,5.034,5.696,6.952,9.317,13.035,13.039,8.754,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-11.627,-18.069,-25.384,-28.526,-0.026,48.948,,,,,,,,,,,5.341,5.341,5.938,7.078,10.566,18.511,35.402,12.084,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10.050,-16.101,-33.015,-42.920,-47.712,192.974,,,,,,,,,,,#DIV/0!,#DIV/0!,1.211,7.231,"Friday, November 5, 2021",7.063,0.639,3.731,#N/A,ONEE ปิด 2.22 P/E 14.12 Chg% -53.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONSENS,1,1.07,0.057,18.75,,,,0.33,0.97,1.10,2.13,-61.347,4.66,5.11,3.90,4.68,2.51,235.40,1.07,"17,640","1,890",0.00,46.667,-6.389,-38.661,0.172,27.075,11.393,6.193,0.336,0.243,4.401,1.140,1.290,120.735,0.000,-2.561,,40.000,268.435,0.632,12.769,4.757,0.058,18.435,6.119,3.859,2.759,0.093,47.826,9.895,0.943,37.000,,64.061,0.000,0.000,#DIV/0!,#DIV/0!,2.050,0.000,2.050,0.000,0.000,#N/A,0.023,1.000,220.000,40.129,12.557,5.023,#N/A,#N/A,#N/A,#N/A,#N/A,0.000,0.000,0.000,30-09-25,3,38.471,0.522,0.996,3.523,43.512,30.027,757.275,18.228,849.042,12.652,15.976,33.912,62.540,544.461,607.001,0.000,220.000,20.541,242.041,201.326,0.000,3.472,204.798,119.751,55.771,1.640,177.162,27.636,15.179,2.880,9.577,0.000,0.058,0.057,0.000,0.015,0.004,0.000,31.612,0.000,55.449,-9.370,-0.566,-9.936,-56.417,38.471,12.557,12.557,32.487,43.012,0.000,0.000,0.000,0.000,0.000,0.000,,-61.347,-24.471,,,,,,,0.057,0.057,0.150,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.134,2.076,0.000,0.000,0.000,,,,,,,,,,,,,,4.665,4.665,8.296,11.588,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-43.773,-28.411,,,,,,,,,,,,,,,5.115,5.115,13.960,19.869,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-63.360,-29.743,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#N/A,9.736,"Saturday, January 0, 1900",2.076,0.000,0.519,#N/A,ONSENS ปิด 1.07 P/E 18.75 Chg%  .  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,10,15.20,1.019,14.92,,,20.77,1.82,1.62,9.36,4.21,59.796,7.91,11.05,8.34,1.82,0.78,"182,400.00",15.20,"146,262","223,764",-0.65,84.615,-6.410,-61.718,0.529,1.592,7.248,5.922,0.895,0.728,20.878,3.678,18.515,17.955,17652450.000,1.915,OR,62.743,670917.344,6.715,12300.723,1.833,1.025,14.828,5.201,16.653,7.284,2.966,75.000,3.205,2.981,23.720,,70.551,24.100,17.800,-20.747,7.303,23.500,-18.723,19.100,26.930,267208.020,0.300,0.639,10.000,12000.000,16102.523,12224.913,7670.221,22-08-25,04-09-25,19-09-25,0.300,1.974,2.000,0.400,2.632,30-09-25,3,35067.811,30828.288,39737.986,4755.485,110389.570,13591.503,46235.426,29615.665,199832.164,5154.390,37726.792,9236.557,52117.739,35287.516,87405.255,0.000,120000.000,35588.169,112362.368,503188.008,529.346,2240.564,505957.917,476694.663,17435.611,-414.540,493715.734,12242.183,723.909,2292.179,9225.542,0.552,1.025,1.019,0.000,0.218,0.186,0.365,5719.433,0.000,8054.334,-3128.365,-891.770,-7227.596,-12882.241,35067.811,12224.913,12224.913,7650.312,11094.067,10370.404,11474.030,8791.070,10895.805,0.000,0.000,,59.796,-31.041,6.978,-9.618,30.519,-19.317,,,1.019,1.019,0.638,0.925,0.864,0.986,0.980,1.210,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.205,4.806,3.008,2.723,2.101,1.704,0.556,0.000,0.000,,,,,,,,,,7.906,7.906,5.010,6.687,6.541,8.756,8.086,9.586,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,57.821,-25.081,2.235,-25.301,8.284,-15.650,,,,,,,,,,,11.050,11.050,7.008,10.410,10.191,16.672,22.974,28.149,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,57.688,-32.683,2.147,-38.874,-27.429,-18.385,,,,,,,,,,,#DIV/0!,#DIV/0!,0.814,9.665,"Thursday, February 11, 2021",4.806,1.704,2.868,#N/A,OR ปิด 15.2 P/E 14.92 Chg% -18.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORI,0.5,1.73,0.142,12.18,,,6.81,0.55,0.21,8.28,0.40,-66.850,1.55,1.76,3.10,7.90,2.11,"4,245.63",1.73,"29,223","5,124",-1.70,45.000,-17.273,-31.304,0.332,3.709,2.129,31.027,0.157,1.504,1.150,2.099,156.424,0.164,2574200.000,0.468,,4.900,8913.648,0.275,819.712,9.196,0.334,5.179,5.077,26.371,17.436,5.607,46.154,-0.358,0.599,34.390,,53.084,12.800,8.100,-33.984,4.321,12.000,-29.583,8.450,35.270,70596.550,0.021,0.007,0.500,2454.122,1001.151,348.667,17.084,14-11-25,27-11-25,15-12-25,0.021,1.214,1.000,0.021,1.214,30-09-25,3,836.265,3697.074,37072.646,2334.016,43940.001,10252.849,3763.268,6761.589,64717.707,15719.193,6403.101,1368.014,23490.308,19300.378,42790.686,0.000,1227.061,13760.706,20313.705,6685.236,339.415,758.191,7782.842,4449.056,1851.647,59.583,6360.286,1422.556,597.474,148.169,614.784,62.129,0.334,0.142,0.000,0.075,0.130,0.046,351.865,0.000,288.701,-158.934,-0.030,729.824,-1623.084,836.265,348.667,348.667,1051.790,2718.233,3774.536,3193.935,2661.894,3027.133,3337.953,2020.883,,-66.850,-61.306,-27.985,18.178,19.987,-12.066,-9.312,65.173,0.142,0.142,0.429,1.108,1.538,1.302,1.085,1.235,1.362,1.250,0.581,0.790,0.160,0.140,0.000,0.000,0.000,0.000,0.402,0.389,0.580,5.444,5.950,4.779,6.490,7.071,9.848,3.109,8.883,1.617,0.000,0.000,0.000,,,,1.546,1.546,3.479,7.814,13.293,13.138,10.911,14.377,18.428,17.884,16.000,19.098,6.235,8.239,0.000,0.000,0.000,0.000,0.000,-55.560,-55.485,-41.215,1.175,20.415,-24.111,-21.980,3.041,11.776,-16.223,206.297,-24.324,,,,,1.759,1.759,5.481,14.621,22.828,24.279,25.315,35.418,53.153,55.246,32.350,37.971,23.933,21.314,0.000,0.000,0.000,0.000,0.000,-67.906,-62.515,-35.953,-5.975,-4.094,-28.524,-33.367,-3.788,70.774,-14.802,58.655,12.285,,,,,#DIV/0!,#DIV/0!,0.894,11.172,"Wednesday, October 7, 2015",5.950,0.389,3.428,#N/A,ORI ปิด 1.73 P/E 12.18 Chg% -29.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORN,1,0.70,0.140,4.99,,,,0.19,0.41,1.71,4.28,49.804,5.37,8.40,5.38,9.50,1.11,"1,050.00",0.70,"2,691",186,0.00,50.000,-8.333,-35.041,0.844,24.949,10.447,5.336,0.315,-0.007,-96.428,1.790,1.829,0.390,0.000,0.907,,21.344,1879.791,0.695,179.658,9.557,0.120,5.844,9.407,3.608,1.901,0.109,33.333,-23.810,4.067,21.280,,44.188,1.490,0.830,-28.859,27.711,1.490,-28.859,1.060,0.000,0.000,0.020,0.030,1.000,1500.000,274.462,210.559,44.941,20-02-25,06-05-25,23-05-25,0.020,2.857,1.000,0.020,2.857,30-09-25,3,111.624,12.171,3772.553,316.033,4212.381,0.000,880.954,319.244,5412.579,644.265,614.357,722.820,1981.442,870.247,2851.690,0.000,1500.000,162.932,2557.593,1409.843,0.000,8.731,1418.574,1077.247,159.602,0.000,1236.849,181.725,5.142,41.737,134.744,0.103,0.120,0.140,0.000,0.047,0.017,0.026,16.079,0.000,353.916,-182.744,-0.875,-348.659,-58.372,111.624,210.559,210.559,140.557,180.507,280.917,0.000,0.000,0.000,0.000,0.000,,49.804,-22.133,-35.743,,,,,,0.140,0.140,0.094,0.154,0.257,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.280,4.342,2.817,4.717,0.000,0.000,0.000,,,,,,,,,,,,5.365,5.365,4.059,6.628,11.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32.170,-38.758,-40.227,,,,,,,,,,,,,,8.405,8.405,5.805,7.923,12.967,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,44.796,-26.738,-38.898,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,2.740,8.775,"Monday, October 30, 2023",4.717,0.000,2.375,#N/A,ORN ปิด 0.7 P/E 4.99 Chg% -28.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSP,1,16.90,1.179,14.33,,,,1.81,3.13,5.39,5.58,116.196,17.48,22.35,18.77,15.01,0.47,"50,763.38",16.90,"127,989","217,157",-2.87,55.000,-22.063,1.082,2.081,22.758,27.014,1.150,2.002,0.786,21.491,0.507,68.777,4.602,13777744.000,1.163,OSP,80.000,25726.001,2.116,3966.315,15.418,1.320,12.799,18.260,8.096,2.558,0.724,56.667,-4.697,3.928,52.240,,36.759,32.750,21.000,-32.824,4.762,28.250,-22.124,22.000,32.340,69100.800,0.400,0.943,1.000,3003.750,4321.772,3541.517,2833.214,13-08-25,28-08-25,12-09-25,0.400,2.367,2.000,0.600,3.550,30-09-25,3,2779.987,4701.792,2955.277,742.429,11179.485,596.929,11790.714,751.649,24318.777,847.893,5595.022,261.424,6704.339,980.395,7684.734,0.000,3003.750,2174.207,16203.037,19294.501,102.116,425.236,19821.853,11479.228,1429.244,3291.023,16199.495,3622.358,87.980,410.720,2974.736,148.922,1.320,1.179,0.000,0.233,0.336,0.421,1122.187,0.077,4510.997,-482.406,-13.040,-531.024,-3389.771,2779.987,3541.517,3541.517,1638.105,2402.103,1933.769,3254.920,3504.313,3259.009,3005.343,2833.668,,116.196,-31.805,24.219,-40.589,-7.117,7.527,8.441,6.058,1.179,1.179,0.545,0.800,0.644,1.084,1.167,1.085,1.467,12.267,12.171,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.581,5.859,2.885,7.500,3.186,3.212,3.099,2.469,2.816,0.000,0.000,0.000,,,,,,,17.478,17.478,9.177,11.715,8.937,14.885,16.301,16.738,19.676,23.593,22.418,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.450,-21.663,31.086,-39.959,-8.689,-2.608,-14.933,-16.602,5.239,,,,,,,,22.347,22.347,10.297,13.809,10.085,16.646,18.894,18.126,28.063,71.811,61.642,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,117.032,-25.438,36.926,-39.411,-11.898,4.233,-35.409,-60.921,16.497,,,,,,,,#DIV/0!,#DIV/0!,0.872,14.135,"Wednesday, October 17, 2018",7.500,2.885,4.528,#N/A,OSP ปิด 16.9 P/E 14.33 Chg% -22.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACO,0.5,1.21,0.136,8.93,,,,0.21,1.26,0.96,8.96,-8.101,13.87,13.78,9.80,12.41,0.27,"1,210.00",1.21,"7,349",871,-2.42,50.000,20.000,176.736,1.711,12.668,12.621,1.627,0.131,0.168,7.212,0.840,87.611,1.904,0.000,0.511,,80.000,1016.744,1.668,128.531,12.641,0.129,9.414,12.324,1.219,0.262,0.184,15.385,-12.393,2.433,23.490,,27.131,2.820,1.600,-41.844,2.500,2.660,-38.346,1.640,0.000,979.410,0.050,0.108,0.500,1000.000,177.190,135.547,108.438,07-08-25,21-08-25,05-09-25,0.050,4.132,2.000,0.150,12.397,30-09-25,3,98.182,281.694,381.543,11.433,772.852,0.000,422.798,23.362,1219.012,124.796,97.659,7.193,229.648,32.567,262.215,0.000,500.000,184.356,956.797,762.558,0.000,14.241,776.799,593.724,56.355,7.844,657.923,118.876,4.511,17.967,96.398,0.000,0.129,0.136,0.000,0.024,0.032,0.040,32.454,0.000,98.407,-12.243,0.000,-12.243,-206.653,98.182,135.547,135.547,147.496,73.199,82.496,107.683,76.856,30.593,0.000,0.000,,-8.101,101.500,-11.270,-23.390,40.109,151.223,,,0.136,0.136,0.147,0.073,0.082,0.114,0.104,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.962,8.472,10.638,2.439,0.000,1.689,0.000,0.000,0.000,,,,,,,,,,13.875,13.875,14.261,7.555,7.072,12.988,10.843,5.107,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2.710,88.769,6.833,-45.551,19.786,112.305,,,,,,,,,,,13.781,13.781,14.622,7.543,8.991,15.718,14.155,4.958,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-5.756,93.850,-16.102,-42.799,11.039,185.496,,,,,,,,,,,#DIV/0!,#DIV/0!,1.123,11.234,"Monday, March 22, 2021",10.638,0.000,4.648,#N/A,PACO ปิด 1.21 P/E 8.93 Chg% -38.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
